time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.997260338706246e-07,-7.425750997026364e-08,10.002748707666846,6.28305538903375,0.0006805784882741861,0.0,-7.070485276600511e-05,-8.622276476144033e-06,0.09161991185895767,-0.006892067913087338,0.02765551809394493,0.0,433.342368294749,435.66040285959497,434.25215168065364,433.67378419523135
0.12000000000000001,-2.2267791873999975e-05,-4.252218467789551e-06,10.007995421125296,6.282355873118259,0.00206870470598286,0.0,-0.0007742886273223563,-0.00017651077637194658,0.08327111289969841,-0.02348605384561981,0.012073007676533194,0.0,401.8914385301623,400.47694320379094,401.69956100808696,400.192314524152
0.18,-0.00012837227459333936,-4.444964776918743e-05,10.022420755236528,6.280618737745776,0.0027709909927287057,0.0,-0.002857822786124091,-0.0013694608638701042,0.3975166050715654,-0.043082727093661094,0.010957940323857577,0.0,500.46322758776967,500.3819342651797,500.9082866522956,499.48120368143714
0.23999999999999996,-0.0003623027583776615,-0.0001902849551873391,10.049571762362584,6.27756859121887,0.0045826687017980205,0.0,-0.005083137970111865,-0.003774569305732894,0.507472503545182,-0.07462437862551916,0.05354817358954952,0.0,438.90615948863507,442.42649257970356,441.1037185430596,438.4896414195106
0.3,-0.0007822451592119104,-0.0005592345697694187,10.084523302876937,6.273408899304073,0.00799451644532656,0.0,-0.009277764847613982,-0.008993928788974696,0.6574985928452909,-0.06042180014362293,0.06278284791088433,0.0,453.10858363870113,453.8523945276926,451.5389839311277,452.67947474114555
0.36000000000000004,-0.0015298778322826159,-0.0013285996504842565,10.128293835895017,6.269549713872006,0.01148254356481715,0.0,-0.016038526405627165,-0.017055099111659786,0.801420645356798,-0.07354702893482977,0.04667905443205691,0.0,451.59103243696256,450.2926055461567,451.80839016754317,450.7460490521933
0.4200000000000001,-0.0027332858398572773,-0.002641696991093846,10.178782987483224,6.26532545970176,0.014566754255950443,0.0,-0.024367227347025885,-0.027141042394567688,0.8814820196091541,-0.06476457193953693,0.059483117856617446,0.0,430.4088299411001,431.4927280718318,431.15808267858097,431.8953574817423
0.48000000000000015,-0.004480066453256429,-0.0046177002289579305,10.232713313963835,6.261301595427913,0.017874596770393048,0.0,-0.0341776478963917,-0.039089909598982876,0.9161557474711978,-0.07211136077009785,0.04457865248689085,0.0,416.71457444333214,415.41206261009825,417.31377134115064,416.66835144507144
0.5400000000000001,-0.007021355998319483,-0.007568954378281983,10.296722282521724,6.256734538929381,0.020557614409266733,0.0,-0.05088012628277647,-0.05986286195832879,1.217184458809887,-0.08565296827625804,0.044992070949425665,0.0,497.3746503584384,497.4058376777538,498.2803029743718,497.2855122964658
0.6000000000000002,-0.010580897523331974,-0.011819112096225453,10.376149572225076,6.2522180276071815,0.023149014504803667,0.0,-0.06808072117630856,-0.08236893648886419,1.4301259113999398,-0.060009590659900185,0.039318727532775447,0.0,473.26297703746815,472.8270582428691,471.94479752784656,473.9153553201876
0.6600000000000003,-0.015318191302438767,-0.017635265093772952,10.471920643835839,6.2487071792759,0.02583629409788557,0.0,-0.0901649540517083,-0.11197276255287315,1.7617666728781476,-0.055680615739321274,0.05394174074973159,0.0,506.9088123263956,507.9592967008561,506.8796807053366,507.1887268336773
0.7200000000000003,-0.021248931197374653,-0.025042772024436194,10.579603580946513,6.244834581656635,0.02997893127835205,0.0,-0.10789152951649973,-0.13527722310981885,1.8275368528702038,-0.0954049703636491,0.08899650136586891,0.0,426.9951510585003,429.9785157925449,431.60445040928806,428.2349555869056
0.7800000000000004,-0.028238973559771445,-0.033816089836897475,10.688245895460696,6.23902880612949,0.035660749901816224,0.0,-0.12556668733967252,-0.15764234731021187,1.7938902402935484,-0.09962505568579745,0.10417134176033649,0.0,395.8460499717106,397.2486238825755,395.5592778811862,395.16119056932126
0.8400000000000004,-0.03655325719932158,-0.04423197552246833,10.799363963778948,6.233503564924078,0.04236026119219716,0.0,-0.15224883993355592,-0.19014130522811604,1.9097998061297308,-0.08017428925516545,0.12350608554607695,0.0,444.3901624590361,445.9829299417866,444.96358983908243,446.54565132661133
0.9000000000000005,-0.046647677632510196,-0.056749112735501345,10.918188455255379,6.228383094907535,0.04942964696832064,0.0,-0.18500823695535212,-0.22761637868200643,2.0507036925026974,-0.09845006002374537,0.10294820306563071,0.0,454.00886387671187,452.36848154673135,455.06161718001187,453.5904094168507
0.9600000000000005,-0.05892786876149439,-0.07170829372610343,11.046839290932487,6.22267340044411,0.05537693956696366,0.0,-0.22501243888020558,-0.27166780838286797,2.237226091489835,-0.0892886428164257,0.09009911225411546,0.0,468.65583014013504,467.66395478959544,467.9632294970266,468.6685443104345
1.0200000000000005,-0.07371925444473756,-0.0894142434016008,11.186232023008612,6.217333600282245,0.06081226896984404,0.0,-0.26862561050992323,-0.3191095419886274,2.408765618112408,-0.08841942373432586,0.09155001467467652,0.0,465.39064833270567,465.5106639860618,463.8141022609165,463.87612216200336
1.0800000000000005,-0.09116492252220776,-0.10999369656186661,11.334495001328726,6.212270306548174,0.06591221470654496,0.0,-0.3134459719889382,-0.367398750047767,2.532976769579286,-0.07735154108256814,0.06680557175844067,0.0,451.91459168008845,449.9213004841859,450.85608764447284,451.74363072071014
1.1400000000000006,-0.11113247189266562,-0.13328520129287563,11.486146049817242,6.207540702205053,0.06994423396979865,0.0,-0.3524862841713481,-0.409386835642493,2.5220138625265536,-0.08195158204829223,0.06797796525303389,0.0,407.44957580310916,407.55820276079004,408.3569629992782,407.94083188879716
